epoch,learning_rate,loss,sparse_categorical_accuracy,top_9_accuracy,val_loss,val_sparse_categorical_accuracy,val_top_9_accuracy
0,0.0010000000474974513,1.613154411315918,0.5706946849822998,0.9267366528511047,0.7546113133430481,0.7384615540504456,1.0
1,0.0010000000474974513,0.278676837682724,0.8963591456413269,1.0,0.036460839211940765,1.0,1.0
2,0.0010000000474974513,0.023300301283597946,0.9975429773330688,1.0,0.0022520306520164013,1.0,1.0
3,0.0010000000474974513,0.004558547865599394,1.0,1.0,0.000757422239985317,1.0,1.0
4,0.0010000000474974513,0.0026520187966525555,1.0,1.0,0.00035569246392697096,1.0,1.0
5,0.0010000000474974513,0.0017150224884971976,1.0,1.0,0.00021851788915228099,1.0,1.0
